file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt	
elliott_smith.txt.tkzd.34.txt	1	24	9	6	9	8	1	7	8	9	9	29	
elliott_smith.txt.tkzd.1.txt	5	25	8	16	23	0	4	0	3	14	6	13	
elliott_smith.txt.tkzd.63.txt	2	28	7	9	12	3	1	3	14	19	3	30	
elliott_smith.txt.tkzd.47.txt	9	17	13	11	25	18	0	18	6	12	8	27	
kurt_cobain.txt.tkzd.24.txt	2	22	18	5	0	11	0	9	4	16	18	7	
elliott_smith.txt.tkzd.28.txt	1	3	2	6	12	10	0	10	1	6	1	9	
elliott_smith.txt.tkzd.66.txt	5	21	14	15	18	10	1	10	7	11	4	17	
elliott_smith.txt.tkzd.71.txt	9	31	17	11	19	10	1	10	1	34	22	19	
stuart_adamson.txt.tkzd.7.txt	2	25	23	17	10	70	0	53	15	49	14	80	
kurt_cobain.txt.tkzd.20.txt	7	12	7	9	4	12	0	12	1	22	5	22	
elliott_smith.txt.tkzd.4.txt	7	15	6	15	24	11	0	11	5	16	12	28	
pete_ham.txt.tkzd.11.txt	0	17	15	14	1	26	0	25	8	23	4	35	
elliott_smith.txt.tkzd.53.txt	1	22	11	10	11	12	1	12	4	12	6	22	
elliott_smith.txt.tkzd.25.txt	6	13	10	10	2	10	0	10	4	18	2	22	
elliott_smith.txt.tkzd.83.txt	3	17	1	12	19	1	0	1	0	16	2	16	
elliott_smith.txt.tkzd.10.txt	1	3	4	13	12	26	0	26	11	36	10	7	
stuart_adamson.txt.tkzd.10.txt	1	16	13	42	12	35	0	24	35	39	23	39	
