file	drug_words.txt.uniq_lem.txt	mpqa_pos_words.txt.uniq_lem.txt	love_words.txt.uniq_lem.txt	mpqa_neut_words.txt.uniq_lem.txt	2-3PTokens.txt.uniq_lem.txt	1PTokens.txt.uniq_lem.txt	action_verbs.txt.uniq_lem.txt	1PSTokens.txt.uniq_lem.txt	death_words.txt.uniq_lem.txt	mpqa_neg_words.txt.uniq_lem.txt	sensual_words.txt.uniq_lem.txt	concrete_nouns.txt.uniq_lem.txt
trent_reznor.txt.tkzd.13.txt	5	18	13	3	18	19	0	19	8	20	9	18
trent_reznor.txt.tkzd.14.txt	0	8	6	10	9	31	0	30	3	24	4	28
trent_reznor.txt.tkzd.15.txt	2	30	12	50	10	31	0	30	0	31	8	48
trent_reznor.txt.tkzd.16.txt	2	12	10	9	13	20	0	20	4	15	13	45
trent_reznor.txt.tkzd.17.txt	4	24	12	16	44	45	1	45	13	24	23	77
trent_reznor.txt.tkzd.18.txt	2	14	9	29	4	41	0	41	0	3	0	46
trent_reznor.txt.tkzd.19.txt	5	19	6	3	26	9	0	9	16	40	3	25
trent_reznor.txt.tkzd.2.txt	8	26	47	16	30	41	0	40	20	41	35	23
trent_reznor.txt.tkzd.20.txt	3	33	20	17	28	12	0	12	13	28	13	23
trent_reznor.txt.tkzd.21.txt	11	27	16	8	26	37	0	37	2	22	10	19
trent_reznor.txt.tkzd.22.txt	1	19	13	41	48	23	0	23	6	41	9	21
trent_reznor.txt.tkzd.23.txt	2	23	8	19	30	44	1	44	23	37	3	35
trent_reznor.txt.tkzd.24.txt	4	62	43	34	18	61	0	61	6	26	17	74
trent_reznor.txt.tkzd.25.txt	1	11	6	18	12	49	1	49	0	10	30	61
trent_reznor.txt.tkzd.26.txt	1	2	2	2	8	12	0	12	1	16	2	0
trent_reznor.txt.tkzd.27.txt	0	15	9	25	7	24	0	24	4	24	7	9
trent_reznor.txt.tkzd.28.txt	1	4	2	7	5	1	0	1	1	11	1	6
trent_reznor.txt.tkzd.29.txt	2	16	3	20	10	25	3	25	6	21	8	25
trent_reznor.txt.tkzd.3.txt	4	19	11	11	25	9	1	9	4	19	5	17
trent_reznor.txt.tkzd.30.txt	1	14	31	9	29	32	1	32	4	28	2	32
trent_reznor.txt.tkzd.31.txt	0	3	3	4	9	21	1	21	4	2	1	4
trent_reznor.txt.tkzd.32.txt	5	9	1	16	10	19	0	8	10	21	4	16
trent_reznor.txt.tkzd.33.txt	0	20	7	12	25	51	3	42	3	16	6	42
trent_reznor.txt.tkzd.34.txt	4	19	11	16	5	16	0	14	7	16	8	32
trent_reznor.txt.tkzd.35.txt	1	11	1	17	11	33	0	30	6	16	6	35
trent_reznor.txt.tkzd.36.txt	3	14	11	16	12	45	1	37	1	17	9	44
