index	artist	drug_words	mpqa_pos_words	love_words	mpqa_neut_words	2-3PTokens	1PTokens	action_verbs	1PSTokens	death_words	mpqa_neg_words	sensual_words	concrete_nouns
29	Trent Reznor	2	16	3	20	10	25	3	25	6	21	8	25
30	Trent Reznor	1	14	31	9	29	32	1	32	4	28	2	32
31	Trent Reznor	0	3	3	4	9	21	1	21	4	2	1	4
32	Trent Reznor	5	9	1	16	10	19	0	8	10	21	4	16
33	Trent Reznor	0	20	7	12	25	51	3	42	3	16	6	42
34	Trent Reznor	4	19	11	16	5	16	0	14	7	16	8	32
35	Trent Reznor	1	11	1	17	11	33	0	30	6	16	6	35
36	Trent Reznor	3	14	11	16	12	45	1	37	1	17	9	44
37	Trent Reznor	4	17	20	13	20	20	0	18	7	24	3	33
38	Trent Reznor	1	30	9	32	24	24	0	4	6	23	15	28
39	Trent Reznor	2	15	7	16	25	10	2	1	8	14	4	8
40	Trent Reznor	3	48	17	24	36	26	0	7	9	39	22	45
41	Trent Reznor	4	19	18	17	25	10	4	2	8	27	11	12
42	Trent Reznor	1	13	1	5	15	4	0	0	4	9	3	7
43	Trent Reznor	0	19	6	12	16	9	1	9	4	11	4	22
44	Trent Reznor	1	19	8	15	23	7	0	5	5	13	4	23
45	Trent Reznor	0	46	15	34	16	34	2	7	9	42	14	45
1	Elliott Smith	5	25	8	16	23	0	4	0	3	14	6	13
2	Elliott Smith	1	16	12	4	39	3	1	3	3	12	8	13
3	Elliott Smith	1	20	24	14	25	1	0	1	6	18	2	18
4	Elliott Smith	7	15	6	15	24	11	0	11	5	16	12	28
5	Elliott Smith	1	17	9	18	9	14	1	13	13	37	6	22
6	Elliott Smith	2	7	5	2	4	4	0	4	8	13	1	11
7	Elliott Smith	2	13	15	4	12	13	0	13	4	18	3	23
8	Elliott Smith	8	17	12	6	10	7	1	7	2	16	4	19
9	Elliott Smith	2	13	11	5	11	7	0	5	6	17	3	14
10	Elliott Smith	1	3	4	13	12	26	0	26	11	36	10	7
11	Elliott Smith	7	11	10	6	12	13	0	12	3	16	3	24
12	Elliott Smith	1	14	10	7	11	12	0	11	8	14	8	25
13	Elliott Smith	5	14	12	10	19	12	0	12	5	17	6	41
14	Elliott Smith	2	10	7	7	10	12	0	12	5	13	3	17
15	Elliott Smith	3	10	10	12	11	3	0	3	3	15	2	8
