% 1. Title: Suicide/Non-suicide Project 2 Training Set Version 1 without Fiona Apple
% 
% 2. Sources:
%      (a) Creator: Matt Mulholland and Joanne Quinn
%      (b) Contents
%		Non-suicide Lyricists (253 songs):
%			1. Bob Dylan (123 songs)
%			2. Bob Marley (42 songs)
%			3. Mike Ness (43 songs)
%			4. Trent Reznor (45 songs)
%		Suicide Lyricists (280 songs):
%			1. Elliott Smith (99 songs)
%			2. Ian Curtis (40 songs)
%			3. Kurt Cobain (53 songs)
%			4. Pete Ham (34 songs)
%			5. Phil Ochs (54 songs)
%      (c) Date: August, 2013  
%
@relation song

@ATTRIBUTE	class	{suicide,non-suicide}
@ATTRIBUTE	passive/tok	numeric
@ATTRIBUTE	passive/typ	numeric
@ATTRIBUTE	passive/time	numeric
@ATTRIBUTE	(I+mental-verb)/time	numeric
@ATTRIBUTE	neut/typ	numeric
@ATTRIBUTE	diff_between_sums_across_all_n-grams	numeric
@ATTRIBUTE	percent_non-suicide_3-grams	numeric
@ATTRIBUTE	percent_non-suicide_4-grams	numeric
@ATTRIBUTE	diff_for_1-gram_percentages	numeric
@ATTRIBUTE	average_for_all_n-grams:_non-suicide	numeric
@ATTRIBUTE	diff_between_averages_for_all_n-grams	numeric
@ATTRIBUTE	det/tok	numeric

@DATA
non-suicide,0.0069444444,0.0094339623,0.0050251256,0.0150753769,0.0566037736,-0.071848057,0.0379746835,0.0188679245,0,0.0372348223,-0.0119746762,0.0487804878
non-suicide,0.0067114094,0.011627907,0.003968254,0.0119047619,0.1046511628,-0.038490603,0.033557047,0.0131578947,0.0238095238,0.0388318527,-0.0064151005,0.0598802395
non-suicide,0.0152671756,0.0212765957,0.0163934426,0,0.0319148936,-0.0468352783,0.0405405405,0,-0.0337078652,0.0285331077,-0.0078058797,0.0986842105
non-suicide,0,0,0,0.006993007,0.0204081633,-0.2193587004,0.0697674419,0.0217391304,-0.0377358491,0.0538517243,-0.0365597834,0.0514705882
non-suicide,0,0,0,0,0.0925925926,-0.3324464483,0.1170212766,0.0505050505,-0.0740740741,0.0604782881,-0.0554077414,0.0336134454
non-suicide,0.0130718954,0.021978022,0.013986014,0.013986014,0.1318681319,-0.2101162374,0.1194968553,0.049689441,-0.011627907,0.0543489764,-0.0350193729,0.0643274854
non-suicide,0,0,0,0.0082644628,0.2131147541,-0.1253221874,0.0545454545,0.025862069,0,0.0430254529,-0.0208870312,0.0548780488
non-suicide,0.0016666667,0.0037453184,0.0036630037,0.0622710623,0.0674157303,-0.1911452761,0.0834597876,0.030478955,-0.0456431535,0.0521991786,-0.031857546,0.0632737276
non-suicide,0.0055555556,0.012987013,0.0050505051,0.0050505051,0.1168831169,-0.084010584,0.0743243243,0.0128205128,-0.0540540541,0.0437351687,-0.014001764,0.0491071429
non-suicide,0.0053475936,0.0119047619,0.006993007,0.041958042,0.2857142857,-0.0621577091,0.0855263158,0.024691358,0,0.0428057025,-0.0103596182,0.0765550239
non-suicide,0.0057142857,0.0153846154,0.0062111801,0,0.2153846154,-0.1166630613,0.1102362205,0.037037037,0.0163934426,0.045820383,-0.0194438435,0.0666666667
